Actual,Predicted
270.99,274.17142000099994
147.36,145.48390000199993
287.12,283.15656000100006
709.74,713.2797833320002
198.15,196.959960004
273.5,272.04589999800004
146.95,145.6050600019999
286.51,283.18878000100005
710.92,721.96038333
202.74,199.86765333500003
275.5,273.112820005
147.06,145.27644500199997
289.52,283.7225333310001
714.63,716.3904666660003
206.37,205.60964166599996
280.67,280.64529333699994
146.14,145.19421000200003
289.46,287.1350899979998
699.1,710.9735999990002
203.66,204.606875003
279.54,280.74164667
146.1233333,145.28379500100007
289.0833333,287.48610666
703.9866667,713.039966666
203.4233333,204.33856667100005
279.0766667,280.098940009
146.1066667,145.43768500300004
288.7066667,287.98852666100004
708.8733333,713.1115999970002
203.1866667,203.55386667199997
278.6133333,279.6920066800001
146.09,145.051758335
288.33,288.7103199969999
713.76,713.0933166670001
202.95,203.39133333699996
278.15,279.97760667800003
145.6,145.05244833399988
286.44,283.2897933320003
709.99,712.510599998
199.36,203.09148000199986
274.37,276.39032667100014
145.86,145.10559999999995
286.95,283.2091833330002
707.82,716.0467333310002
196.99,196.83698000399997
276.41,275.1610133380001
148.89,147.33429
289.81,284.258193332
722.25,714.363866663
199.05,198.444173333
274.59,274.19420000400004
149.1,148.6998
292.85,293.77438332999986
717.17,725.520233333
201.88,199.86773666900007
274.91,277.3547000100001
149.7733333,148.305508333
293.4333333,295.2001966659998
706.8366667,714.034066665
201.0866667,199.72974333600013
276.0333333,277.067766677
150.4466667,148.21936166499998
294.0166667,295.35242333299993
696.5033333,704.036433332
200.2933333,199.0844300020001
277.1566667,277.64572001100004
151.12,147.84135999999992
294.6,294.84074333299986
686.17,690.7269
199.5,198.17435000500012
278.28,277.855146669
150.19,150.96789833299994
293.08,294.3667733329999
665.71,659.7469000020002
194.58,195.85342000100007
271.1,270.91981999899986
146.36,147.46586999999997
290.73,295.0049133329999
688.99,686.2614
190.4,193.339046663
268.84,269.672246666
146.7,145.32476833499996
296.77,295.9878166659999
673.47,676.564733335
197.98,199.08651333499995
270.58,270.0289333330002
148.19,146.85964333599995
304.36,305.56565999900033
680.26,684.164066669
208.16,204.34945333499996
272.96,271.7557000000002
148.6966667,147.987666666
304.4566667,305.85370333300045
688.94,689.1880833360004
211.9666667,210.19639499900012
149.2033333,148.51727833200002
304.5533333,305.60845666700044
697.62,695.3149833290001
215.7733333,212.69418000300007
274.97,273.8218000040001
149.71,148.81419500099997
304.65,307.1968033320004
706.3,700.6957999920003
219.58,214.42373666600005
276.98,275.5763666700001
149.62,150.690265001
302.62,306.5703766690004
708.49,712.648599998
217.93,218.32619999100024
279.51,278.863413348
148.36,148.03250833299995
302.01,306.3148400020003
711.2,713.772249999
222.13,222.49159333400013
277.69,279.30465334599995
147.54,147.79463333199993
299.09,303.155993334
701.16,710.828233332
220.68,221.19309167000006
273.62,278.179853335
148.6,147.654155001
299.72,298.9135966669998
711.92,711.7934833310001
226.36,224.29977833399997
278.33,277.58334667300005
150.1066667,148.635871668
301.01,303.06927333399994
718.25,712.422666665
226.5333333,225.48260833700004
151.6133333,149.77025833199997
302.3,303.345173334
724.58,719.146116663
226.7066667,227.01241667900015
283.4,279.65329334599994
153.12,150.94067833299997
303.59,305.9087699990003
730.91,723.5877999969999
226.88,227.95728333100007
288.47,282.482219998
151.83,153.01223666799996
301.88,306.26480333500035
735.72,736.3756166759999
223.85,223.36162666900015
288.66,287.2525199980001
152.51,153.192321666
301.83,304.49337000000037
734.09,738.3831833410001
224.41,224.15032666800016
286.75,285.19074999700007
153.65,153.128288333
301.15,302.60965333300004
732.39,736.7105666770002
223.96,224.0523350010001
285.53,283.1923800000002
154.3,152.97945000000004
301.14,303.17933666499994
733.57,728.7261999959999
228.43,225.72522666800018
289.13,282.4144600040001
154.8975,154.19513166600007
300.9,302.74655999899994
738.4075,736.119050004
227.9775,226.17315000200009
290.1625,282.97412000400004
155.495,154.5767366640001
300.66,302.5829966659999
743.245,737.8050500170004
227.525,226.2059250050002
291.195,285.88349999700006
156.0925,155.25185499700007
300.42,303.03110333199993
748.0825,736.8801333450003
227.0725,226.53997500200006
292.2275,289.93909999999994
156.69,155.444314996
300.18,301.707603333
752.92,740.8056666760007
226.62,227.2213833350001
293.26,293.3919733329998
155.11,155.124618332
300.21,299.25387666599994
753.87,741.2392333410006
223.39,221.57983500400016
285.23,288.9841066659999
154.07,155.604906665
297.25,299.247736666
754.86,756.7628999930012
221.77,222.1486616660003
286.88,283.29356666500024
148.97,153.22452333000004
295.71,297.5917533329999
736.27,739.3288000080004
224.78,223.893626668
284.32,283.00887999800017
149.1633333,150.35795499899993
296.1366667,298.20070333299986
738.5133333,737.6838833420005
223.6933333,223.29315166900014
283.0433333,281.202180008
149.3566667,150.10010166699993
296.5633333,298.2565133329998
740.7566667,734.9365500110007
222.6066667,223.15638333500007
281.7666667,280.88374667700003
149.55,149.703206666
296.99,297.4488533329999
743.0,731.8547666690002
221.52,223.60314166800003
280.49,282.34944666700017
148.12,148.36263999799993
299.79,301.817063333
744.49,737.2860166800004
222.42,222.07326666500023
282.24,280.17772001000003
149.03,146.60045499799992
304.82,306.0021333370003
755.83,738.5770333430004
